id,published,labeler,taskID,value,offset_from,offset_to,content
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,TYPE,SUMMARY,,,
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,FACT,RETURN,636.0,885.0,"Refugees and Congolese returnees from elsewhere in the region, including more than 172,000 refugees from the Central African Republic (CAR) and nearly 500,000 Congolese nationals expelled from Angola, also remain in need of emergency food assistance"
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,FACT,REFUGEE,636.0,885.0,"Refugees and Congolese returnees from elsewhere in the region, including more than 172,000 refugees from the Central African Republic (CAR) and nearly 500,000 Congolese nationals expelled from Angola, also remain in need of emergency food assistance"
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,FACT,DISPLACED,890.0,1032.0,"Inter-communal conflict in Ituri—a province affected by the ongoing EVD outbreak—displaced more than 300,000 people between early and mid-June"
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,CAUSE,OTHER_CAUSE,815.0,823.0,expelled
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,CAUSE,CONFLICT,890.0,913.0,Inter-communal conflict
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,QUANTITY,PERSON,981.0,1005.0,"more than 300,000 people"
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,QUANTITY,PERSON,709.0,726.0,"more than 172,000"
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,QUANTITY,PERSON,780.0,794.0,"nearly 500,000"
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,LOCATION_ORIGIN,COUNTRY_O_0,745.0,775.0,Central African Republic (CAR)
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,LOCATION_ORIGIN,COUNTRY_O_0,829.0,835.0,Angola
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,LOCATION_ORIGIN,STATE_DISTRICT_REGION_O_0,917.0,922.0,Ituri
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,DATE,START_DATE_FLOW_0,1014.0,1019.0,early
EN2652359,"(2019, 6, 24, 'MON')",Fabio Poletto,DATE,END_DATE_FLOW_0,1024.0,1032.0,mid-June
EN2718256,"(2019, 8, 2, 'FRI')",Fabio Poletto,TYPE,SUMMARY,,,
EN2718256,"(2019, 8, 2, 'FRI')",Fabio Poletto,FACT,DISPLACED,248.0,313.0,Approximately 1.6 million people in Iraq are internally displaced
EN2718256,"(2019, 8, 2, 'FRI')",Fabio Poletto,CAUSE,CONFLICT,64.0,81.0,years of conflict
EN2718256,"(2019, 8, 2, 'FRI')",Fabio Poletto,QUANTITY,PERSON,248.0,280.0,Approximately 1.6 million people
EN2718256,"(2019, 8, 2, 'FRI')",Fabio Poletto,LOCATION_ORIGIN,COUNTRY_O_0,284.0,288.0,Iraq
EN2718256,"(2019, 8, 2, 'FRI')",Fabio Poletto,DATE,DATE_STOCK_0,319.0,323.0,2019
EN2460270,"(2019, 2, 14, 'THU')",Fabio Poletto,TYPE,SUMMARY,,,
EN2460270,"(2019, 2, 14, 'THU')",Fabio Poletto,FACT,REFUGEE,283.0,382.0,Lebanon has taken in more than 1.5 million refugees since the eruption of Syria’s civil war in 2011
EN2460270,"(2019, 2, 14, 'THU')",Fabio Poletto,CAUSE,CONFLICT,365.0,374.0,civil war
EN2460270,"(2019, 2, 14, 'THU')",Fabio Poletto,QUANTITY,PERSON,303.0,325.0, more than 1.5 million
EN2460270,"(2019, 2, 14, 'THU')",Fabio Poletto,LOCATION_ORIGIN,COUNTRY_O_0,357.0,362.0,Syria
EN2460270,"(2019, 2, 14, 'THU')",Fabio Poletto,DATE,START_DATE_FLOW_0,378.0,382.0,2011
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,TYPE,SUMMARY,,,
EN2845164,"(2019, 10, 13, 'SUN')",Fabio Poletto,FACT,DISPLACED,1266.0,1318.0," The offensive has displaced at least 130,000 people"
