id,document_identifier,wbm_url,content,created
EN2652359,https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-food-assistance-fact-sheet-updated-june,http://web.archive.org/web/20190625222943id_/https://reliefweb.int/report/democratic-republic-congo/democratic-republic-congo-food-assistance-fact-sheet-updated-june,,2019-06-24
EN2422390,https://www.irishexaminer.com/breakingnews/ireland/two-men-arrested-in-connection-with-derry-car-bomb-attack-in-derry-898734.html,http://web.archive.org/web/20190123184850id_/https://www.irishexaminer.com/breakingnews/ireland/two-men-arrested-in-connection-with-derry-car-bomb-attack-in-derry-898734.html,,2019-01-20
EN2718256,https://reliefweb.int/report/iraq/iraq-iom-engages-government-community-actors-tackle-human-trafficking-enarku,http://web.archive.org/web/20190802161654id_/https://reliefweb.int/report/iraq/iraq-iom-engages-government-community-actors-tackle-human-trafficking-enarku,,2019-08-02
EN2689578,https://www.recorderonline.com/news/national_news/gulf-coast-keeps-guard-up-as-barry-continues-drenching/article_d42d85b4-4592-5a9f-8ebb-ca94c55f18a9.html,,"Thank you for Reading! Please log in, or sign up for a new account and purchase a subscription to continue reading.",2019-07-14
EN2460270,https://themedialine.org/student-journalists/lebanon-minister-urges-syria-to-take-back-refugees-despite-unsafe-conditions/,http://web.archive.org/web/20190223181632id_/https://themedialine.org/student-journalists/lebanon-minister-urges-syria-to-take-back-refugees-despite-unsafe-conditions/,,2019-02-23
EN2845164,https://www.theledger.com/news/20191013/syrias-kurds-look-to-assad-for-protection-after-us-pullout,http://web.archive.org/web/20191014052230id_/https://www.theledger.com/news/20191013/syrias-kurds-look-to-assad-for-protection-after-us-pullout,,2019-10-14
EN2496868,https://katc.com/ap-national-news/2019/03/17/the-latest-more-evacuations-in-deadly-midwestern-flooding/,,"ST. LOUIS (AP) — The Latest on flooding in the Midwest (all times local): 4 p.m. Flooding in Nebraska has badly damaged up to 500 houses in one county alone. Greg London of the Sarpy County Sheriff’s Office said Sunday that one levee broke Thursday along the Platte River, and another broke Saturday. He estimates that up to 400 houses and cabins in the area known as Hanson’s Lake are damaged, including many that are completely submerged. Another 100 or so homes are damaged elsewhere in the county. The area is near where the Platte and Missouri rivers converge. A Missouri River levee nearby also breached on Thursday. London says many of the damaged homes are likely ruined. He says that while the area has had flooding before, this year’s disaster is “unprecedented.” ___ This update has been corrected to show the name of the county in Nebraska is Sarpy, not Sharpy. ___ 3:15 p.m. Flooding has reached record levels at 17 locations across Nebraska. The state’s emergency management agency says more record crests are expected in various rivers by Tuesday. Nebraska has had much of the worst of the late-winter flooding that’s been seen across the Midwest. Hundreds of homes are damaged and the state says 660 people are staying in shelters. The Nebraska Emergency Management Agency says the Missouri River is expected to crest Sunday at 41 feet (12.5 meters) in Plattsmouth — 4 feet (1.22 meters) above the record set in 2011. Serious flooding there is expected to continue through next weekend. Crest records also were set along the Platte and Elkhorn rivers. The Elkhorn reached 24.6 feet (7.5 meters) Saturday in Waterloo, breaking the 1962 record by 5 1/2 feet (1.68 meters). Nearly 300 people have been rescued from high water across the state. At least one person has died in floodwaters in the state. A second death from flooding was reported in Iowa. ___ 3 p.m. Officials say residents of Green Bay, Wisconsin, who evacuated their homes due to flooding can return. Heavy rainfall and melting snow have led to dangerously high water in creeks and rivers across several Midwestern states. Even as the water receded in Green Bay, other parts of the Midwest are still under water or are bracing for flooding. In far southwestern Iowa, residents were being evacuated Sunday as floodwaters overtopped levees. And in St. Joseph, Missouri, volunteers are filling sandbags to help secure a levee protecting an industrial area. Green Bay Metro Fire Department lifted its emergency evacuation order at 10 a.m. Sunday for an eight- to 10-block area around the East River. The Green Bay Press Gazette reports city inspectors were out placing placards on front doors identifying those not currently inhabitable because they have no heat and those that are safe to re-enter. ___ 1:55 p.m. Flooding along the Missouri River is causing long delays for Amtrak passengers. The passenger rail service said Sunday that its Missouri River Runner service between St. Louis and Kansas City, Missouri, will have delays up to five hours because of flooding and rail congestion. Amtrak says all Missouri River Runner trains will be canceled Monday. The service typically travels twice daily between Missouri’s two metropolitan areas. ___ 12:40 p.m. The flooding Missouri River has damaged dozens of buildings at an Air Force base in Nebraska. The Omaha World-Herald reports that about one-third of the Offutt Air Force Base is under water. A spokeswoman for the base says 60 buildings, mostly on the south end of the base, have been damaged, including about 30 completely inundated with as much as 8 feet (2.4 meters) of water. Among the buildings badly damaged are the headquarters building and a hangar. Offutt’s lone runway is expected to remain closed until Tuesday afternoon. Airmen had been filling thousands of sandbags, but the newspaper reports that the sandbagging effort has been halted. ___ 11:40 a.m. Residents in parts of southwestern Iowa are being urged to leave their homes as a torrent of Missouri River water flows over and through levees. Heavy rainfall and snowmelt forced river levels across four Midwestern states to dangerous levels. Two deaths were blamed on the high and forceful water, and two other men have been missing for days. While river levels on Sunday were starting to level off in Nebraska, residents in Iowa, Kansas, Missouri were bracing for the worst still yet to come. Flooding has also been reported in Illinois, Minnesota, South Dakota and Wisconsin. The Missouri River reached a record 30.2 feet (9.2 meters) Sunday in Fremont County, Iowa, in the state’s far southwestern corner. People in parts of Bartlett and Thurman were being evacuated as water broke through or overtopped levees. County Emergency Management Director Mike Crecelius says it isn’t just the amount of water, it’s the swiftness of the current that creates a danger. ___ 11:20 a.m. Flooding caused by heavy rain and snowmelt is blamed for two deaths in the Midwest, and two others are missing. Hundreds of people were evacuated from their homes in Nebraska and Iowa as levees succumbed to the rush of water. Flooding has also been reported in Illinois, Minnesota, South Dakota and Wisconsin. Authorities say 52-year-old Aleido Rojas Galan of Norfolk, Nebraska, died Friday night in southwestern Iowa. Officials say Galan and two others were in a vehicle that drove around a barricade and was swept away. The other two men survived. On Thursday, 50-year-old James Wilke of Columbus, Nebraska, died when a bridge collapsed as he used a tractor to try and reach stranded motorists. A Norfolk man was seen on top of his flooded car late Thursday before being swept away. Water also swept away a man after a dam collapse. Both men are still missing.",2019-03-17
EN2432652,https://www.chronicle.co.zw/ethiopia-bans-street-begging-by-syrians/,http://web.archive.org/web/20190128111659id_/https://www.chronicle.co.zw/ethiopia-bans-street-begging-by-syrians/,,2019-01-28
EN2626141,https://www.eveningtelegraph.co.uk/2019/06/09/accused-is-hostage-keepers-will-have-to-face-me-in-court-victims-daughter/,http://web.archive.org/web/20190612023104id_/https://www.eveningtelegraph.co.uk/2019/06/09/accused-is-hostage-keepers-will-have-to-face-me-in-court-victims-daughter/,,2019-06-10
EN2406620,https://www.irinnews.org/news/2019/01/09/Sudan-Bashir-food-protests-bread,,"GENEVA

For weeks, popular protests have rocked Sudan, with thousands of citizens coming out to decry the high cost of bread and call for the downfall of the regime of President Omar al-Bashir, who has been in power since 1989.

Echoing the 2011 Arab Spring in neighbouring Libya and Egypt, demonstrations have spread across the country, from agricultural towns and old industrial centres to major cities like the capital, Khartoum. With the governing system already weakened by years of instability, some analysts say if al-Bashir falls it could bring down the state as a whole.

Al-Bashir, wanted by the International Criminal Court for allegedly committing genocide in Sudan’s western Darfur region, has responded with a crackdown by security forces that human rights groups say resulted in the deaths of dozens of protesters, although official figures are lower. He is holding tight to power, but the protesters won’t back down either, saying the regime’s time is up.

As a strategically located oil-producing nation, Sudan is crucial to the volatile geopolitics of the Red Sea and the Horn of Africa. But it reels from a sunken economy, widespread corruption, and protracted conflicts and humanitarian crises.

At least 5.5 million people are in need of assistance and two million internally displaced – mostly in Darfur, and in the southern Blue Nile and South Kordofan states, where rebellions continue and a ceasefire has just expired. In 2018, the UN estimated $1 billion in aid was required to assist everyone in need.

As protests continue – security forces reportedly fired on protesters in Sudan's second city of Omdurman on Wednesday – it’s unclear what impact the political upheaval will have on those already most vulnerable. Here’s our briefing on recent events in Sudan, and how the turbulence could impact the country.

Why did the protests start?

The immediate cause of the protests, which began on 19 December 2018, was the slashing of bread subsidies in the northern Nile-side town of Atbara. Citizens saw the price of bread triple overnight and took to the streets, burning down the ruling National Congress Party (NCP) headquarters, and breaking into stores to distribute grain to the people.

The protests quickly spread across the rural north, soon reaching the major cities of Port Sudan, Wad Madani, and Khartoum. Protesters called for an end to al-Bashir's 29-year reign, which has been marked by near-constant civil war, extreme hunger and famine in 1993 and 1998, and persistent economic malaise following the secession of the oil-rich south in 2011.

What’s unique about these protests?

Demonstrations started in the riverine north, which is traditionally al-Bashir's base, a departure from historical protest movements that typically began in cosmopolitan Khartoum. These protests are also different because of their longevity and geographic scope.

In 2013, Khartoum erupted in protests against the lifting of fuel subsidies, resulting in a furious response by security forces who killed nearly 200 people. Since then, economic conditions have only worsened as the country suffers from acute shortages of cash and fuel.

""[The regime] has clearly run out of political and economic ideas,"" said Horn of Africa expert Harry Verhoeven. ""Since 2011 people have known the time is up, it's a question of when rather than if. What we're seeing right now might not be the final chapter, but we are nearing the end.""

Who are the protesters and what do they want?

The protesters are a mix of rural people unable to afford basic goods and an urban middle class including students, university professors, and doctors demanding political overhaul . These groups are not necessarily natural partners, Magdi el Gizouli, a Sudanese analyst with the Rift Valley Institute, told IRIN.

""I do sense they may be laying off the live ammunition a bit more now because they feel under more scrutiny internationally.""

El Gizouli points to an attempt by urban protesters to downplay the importance of high food costs in rural areas. ""The middle class likes to speak of rights and freedoms. They don't like to speak the language of bread,"" he said. ""This contradiction is totally unnecessary. Why do you need to divide these two things? Why do you need to say bread is different from freedom?""

Despite this urban-rural divide, the protesters now have a semblance of structure under the emerging Sudanese Professionals Association, which has taken on an organisational role. In a petition, the Association has called for a “transitional government of technocrats with a mandate agreed upon by all segments of Sudanese society”.

How has the government responded?

Initially, al-Bashir's forces responded brutally, beating protesters and firing tear gas and live ammunition, which caused the deaths of at least 37 protesters in December, according to Amnesty International.

But the level of deadly violence has apparently lessened since then, with Human Rights Watch putting the total death toll at around 40. Sudan's government says 19 people have been killed.

The relative restraint may be the result of a warming of relations between Sudan and the West, says Jehanne Henry, a researcher for Human Rights Watch. Khartoum has become a key partner for the EU to stem the flow of migrants to the Mediterranean, and works on counter-terrorism with the United States, which lifted two decades of economic sanctions in 2017 amid a thaw in relations. ""I do sense they may be laying off the live ammunition a bit more now because they feel under more scrutiny internationally,"" Henry told IRIN.

That said, bellicose rhetoric from top officials suggests al-Bashir won’t go down without a fight, and Henry added that the regime is hardly playing nice. She pointed to reports of arrests (over 800 so far, according to the government) including of journalists, opposition politicians, and university professors.

Henry was especially concerned about 50 Darfuri students who she said were arrested, accused by authorities of having links to rebel groups, and held incommunicado. ""The government rounded them up in these house raids. They won't say where they are. There haven't been any charges,"" she said. ""That worries me because Darfuri students are always beaten up and treated horribly, much worse than other groups of protesters.""

Is there a political solution?

The protests have led to a realignment of Sudanese politics. A collection of smaller parties, including some of al- Bashir’s Islamist former allies, have left the government and joined the protesters’ calls for the president to step down. More traditional opposition parties, as well as rebel groups from Darfur, Kordofan and Blue Nile, have likewise voiced support for the protests.

But many of these groups represent an old guard that lacks credibility among Sudan's younger generation, who is in the streets. “Whatever way you look at it, [the protests] will move politics in Sudan a bit forward,” said el Gizouli. “But there's no one with a plan.”

So far, al-Bashir shows no signs of stepping down in the face of the defections, and there is little evidence the NCP itself is cracking: no major security figures have joined the protests.

However, continued support for al-Bashir isn’t a given. He essentially relies on a large patronage network to keep his power base behind him. And as the country is almost broke, it has become harder for him to keep everyone in line.

With no solution in sight, one thing is clear, according to Henry of Human Rights Watch: ""The longer the protests go on, the higher the death and injury toll.""

How is the international community reacting?

Al-Bashir is known for his wily approach to foreign relations, seeking out support wherever he can. But the international community has been hands-off in recent weeks.

Once a friend of Iran and a foe of the West, in recent years al-Bashir has simultaneously courted Saudi Arabia, Qatar, the United States, Russia, and even Syria's Bashar al-Assad. Analysts say Egypt and the Gulf states would abhor an Arab Spring-style revolution in Sudan, but so far no Arab state has bailed al-Bashir out with an influx of cash – something he's relied on in the past.

Otherwise, there has been a smattering of statements calling for restraint from Western powers, the UN, and the African Union. The East African regional bloc IGAD, itself dominated by autocrats who fear popular uprisings, has said nothing. For el Gizouli, the way forward must come from within. ""The decisive thing is how the street continues to operate and how the security forces respond,” he said.

What will happen next?

According to Verhoeven, the best-case scenario to resolve the crisis would see al-Bashir step aside and go into exile while an internationally backed coalition government leads the country until fresh elections. But convincing al-Bashir to go is a tall order. Sudanese billionaire Mo Ibrahim suggested the ICC should think about dropping its charges against al-Bashir to encourage him to step aside with the guarantee he won’t be prosecuted.

But removing al-Bashir may do little to change the structure of the state if the security apparatus holds onto power, similar to Abdel Fattah el-Sisi's Egypt. Furthermore, the Sudanese state is weak after decades of war and sanctions.

""Structurally speaking, where Sudan is in this moment in time is not very different from [the Democratic Republic of] Congo in the mid 90s, or Somalia in the late 80s,"" Verhoeven said, referring to periods preceding massive outbreaks of violence in those countries. ""The system has become so weak and the state doesn't require very much to come crashing down, so when the leader falls, it's not just a person or a party that falls, it’s the state as a whole.""

It is easy to see how state collapse following a revolution could result in a situation like neighbouring Libya, where atrocities, warlordism, and terrorism have spread.

Verhoeven points out that grudges and rivalries run deep in Sudan, where there are many aggrieved groups who want to seek revenge. Al-Bashir's regime has also mainstreamed elements of Islamist extremism, and the country is awash with weapons.

So far, the protests have had little discernible impact on humanitarian aid; the ICRC told IRIN that none of its humanitarian activities have been disrupted as a result. But short of state collapse, the unrest at Sudan’s centre will invariably have consequences in the periphery, where the majority of vulnerable, aid-dependent people reside.

With all eyes on the protests, a ceasefire announced by al-Bashir last year for the Darfur, South Kordofan, and Blue Nile conflict areas quietly expired on 1 January. As al-Bashir moves troops to deal with the protests, rebels may take the opportunity to launch new offensives. At the same time, al-Bashir may need to buy loyalty of various militia and military elite, giving those armed groups and leaders the funds to rearm, recruit, and re-engage with their own rivals in the hinterlands. Any uptick in fighting could reverse hard-won gains for aid workers trying to reach civilians in need.

(TOP PHOTO: Sudan's President Omar al-Bashir appears during a rally in the capital Khartoum on 9 January 2019. CREDIT: Ashraf Shazly/AFP)",2019-01-09
